Id,Predicted
0,neutral
1,disgust
2,neutral
3,neutral
4,neutral
5,non-neutral
6,non-neutral
7,neutral
8,neutral
9,non-neutral
10,non-neutral
11,neutral
12,non-neutral
13,neutral
14,neutral
15,surprise
16,sadness
17,surprise
18,surprise
19,neutral
20,neutral
21,neutral
22,surprise
23,neutral
24,joy
25,neutral
26,neutral
27,neutral
28,anger
29,neutral
30,neutral
31,neutral
32,neutral
33,neutral
34,non-neutral
35,non-neutral
36,non-neutral
37,anger
38,non-neutral
39,neutral
40,neutral
41,non-neutral
42,surprise
43,neutral
44,neutral
45,surprise
46,surprise
47,non-neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,neutral
58,non-neutral
59,surprise
60,surprise
61,neutral
62,non-neutral
63,neutral
64,neutral
65,non-neutral
66,disgust
67,surprise
68,neutral
69,surprise
70,neutral
71,non-neutral
72,neutral
73,neutral
74,neutral
75,non-neutral
76,surprise
77,neutral
78,non-neutral
79,neutral
80,joy
81,neutral
82,joy
83,neutral
84,neutral
85,neutral
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,non-neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,disgust
104,surprise
105,neutral
106,neutral
107,neutral
108,neutral
109,non-neutral
110,neutral
111,joy
112,anger
113,surprise
114,non-neutral
115,neutral
116,neutral
117,joy
118,neutral
119,neutral
120,non-neutral
121,neutral
122,anger
123,neutral
124,neutral
125,surprise
126,neutral
127,joy
128,neutral
129,neutral
130,neutral
131,neutral
132,neutral
133,joy
134,neutral
135,neutral
136,neutral
137,non-neutral
138,non-neutral
139,non-neutral
140,non-neutral
141,neutral
142,joy
143,neutral
144,neutral
145,neutral
146,non-neutral
147,non-neutral
148,surprise
149,surprise
150,neutral
151,non-neutral
152,anger
153,neutral
154,surprise
155,neutral
156,neutral
157,neutral
158,neutral
159,neutral
160,neutral
161,surprise
162,neutral
163,neutral
164,neutral
165,neutral
166,non-neutral
167,neutral
168,joy
169,neutral
170,surprise
171,neutral
172,non-neutral
173,sadness
174,neutral
175,non-neutral
176,neutral
177,neutral
178,surprise
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,surprise
186,neutral
187,surprise
188,surprise
189,neutral
190,neutral
191,neutral
192,non-neutral
193,anger
194,non-neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,non-neutral
205,joy
206,joy
207,joy
208,joy
209,neutral
210,non-neutral
211,neutral
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,surprise
218,neutral
219,neutral
220,non-neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,disgust
226,surprise
227,neutral
228,neutral
229,neutral
230,neutral
231,surprise
232,neutral
233,joy
234,neutral
235,joy
236,neutral
237,non-neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,joy
243,neutral
244,non-neutral
245,non-neutral
246,neutral
247,neutral
248,neutral
249,neutral
250,joy
251,joy
252,non-neutral
253,surprise
254,neutral
255,non-neutral
256,neutral
257,surprise
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,neutral
266,neutral
267,non-neutral
268,neutral
269,non-neutral
270,neutral
271,non-neutral
272,neutral
273,non-neutral
274,neutral
275,neutral
276,non-neutral
277,surprise
278,neutral
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,neutral
286,neutral
287,joy
288,joy
289,neutral
290,neutral
291,surprise
292,neutral
293,neutral
294,neutral
295,joy
296,non-neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,sadness
306,neutral
307,non-neutral
308,neutral
309,neutral
310,neutral
311,joy
312,neutral
313,neutral
314,non-neutral
315,neutral
316,non-neutral
317,non-neutral
318,surprise
319,neutral
320,neutral
321,surprise
322,non-neutral
323,neutral
324,joy
325,surprise
326,neutral
327,non-neutral
328,non-neutral
329,neutral
330,non-neutral
331,surprise
332,non-neutral
333,non-neutral
334,surprise
335,neutral
336,neutral
337,non-neutral
338,neutral
339,surprise
340,neutral
341,neutral
342,neutral
343,surprise
344,joy
345,neutral
346,joy
347,non-neutral
348,non-neutral
349,neutral
350,neutral
351,neutral
352,sadness
353,neutral
354,surprise
355,neutral
356,anger
357,neutral
358,neutral
359,neutral
360,neutral
361,surprise
362,joy
363,neutral
364,surprise
365,neutral
366,neutral
367,neutral
368,neutral
369,fear
370,neutral
371,neutral
372,joy
373,neutral
374,neutral
375,surprise
376,joy
377,neutral
378,neutral
379,neutral
380,neutral
381,neutral
382,joy
383,neutral
384,neutral
385,non-neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,neutral
399,neutral
400,non-neutral
401,joy
402,disgust
403,disgust
404,joy
405,non-neutral
406,neutral
407,non-neutral
408,non-neutral
409,non-neutral
410,neutral
411,neutral
412,non-neutral
413,neutral
414,neutral
415,non-neutral
416,sadness
417,sadness
418,surprise
419,neutral
420,neutral
421,neutral
422,neutral
423,surprise
424,non-neutral
425,neutral
426,neutral
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,joy
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,non-neutral
440,surprise
441,surprise
442,neutral
443,neutral
444,non-neutral
445,neutral
446,non-neutral
447,neutral
448,neutral
449,joy
450,neutral
451,surprise
452,neutral
453,surprise
454,neutral
455,neutral
456,anger
457,anger
458,neutral
459,neutral
460,neutral
461,non-neutral
462,neutral
463,neutral
464,neutral
465,non-neutral
466,neutral
467,joy
468,neutral
469,neutral
470,neutral
471,surprise
472,surprise
473,neutral
474,neutral
475,neutral
476,surprise
477,joy
478,anger
479,neutral
480,surprise
481,surprise
482,neutral
483,neutral
484,neutral
485,neutral
486,neutral
487,neutral
488,neutral
489,neutral
490,neutral
491,neutral
492,surprise
493,non-neutral
494,neutral
495,joy
496,joy
497,joy
498,non-neutral
499,non-neutral
500,neutral
501,joy
502,neutral
503,neutral
504,surprise
505,disgust
506,non-neutral
507,neutral
508,neutral
509,neutral
510,non-neutral
511,neutral
512,neutral
513,joy
514,sadness
515,surprise
516,neutral
517,joy
518,surprise
519,neutral
520,non-neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,joy
526,neutral
527,neutral
528,neutral
529,neutral
530,neutral
531,neutral
532,anger
533,neutral
534,surprise
535,neutral
536,neutral
537,neutral
538,non-neutral
539,non-neutral
540,non-neutral
541,neutral
542,neutral
543,joy
544,neutral
545,non-neutral
546,neutral
547,neutral
548,neutral
549,neutral
550,neutral
551,neutral
552,surprise
553,neutral
554,neutral
555,sadness
556,anger
557,surprise
558,surprise
559,neutral
560,anger
561,neutral
562,surprise
563,neutral
564,neutral
565,neutral
566,joy
567,surprise
568,neutral
569,joy
570,neutral
571,neutral
572,neutral
573,neutral
574,non-neutral
575,non-neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,neutral
582,neutral
583,neutral
584,neutral
585,neutral
586,surprise
587,neutral
588,neutral
589,neutral
590,non-neutral
591,non-neutral
592,anger
593,anger
594,non-neutral
595,non-neutral
596,neutral
597,neutral
598,anger
599,disgust
600,neutral
601,neutral
602,neutral
603,neutral
604,neutral
605,surprise
606,non-neutral
607,neutral
608,neutral
609,non-neutral
610,neutral
611,anger
612,non-neutral
613,neutral
614,surprise
615,neutral
616,non-neutral
617,neutral
618,neutral
619,non-neutral
620,neutral
621,neutral
622,neutral
623,neutral
624,neutral
625,neutral
626,neutral
627,neutral
628,neutral
629,neutral
630,non-neutral
631,neutral
632,neutral
633,neutral
634,non-neutral
635,disgust
636,neutral
637,neutral
638,neutral
639,non-neutral
640,neutral
641,neutral
642,non-neutral
643,neutral
644,non-neutral
645,neutral
646,surprise
647,neutral
648,non-neutral
649,neutral
650,neutral
651,joy
652,non-neutral
653,neutral
654,neutral
655,joy
656,neutral
657,neutral
658,joy
659,neutral
660,neutral
661,surprise
662,neutral
663,neutral
664,neutral
665,neutral
666,surprise
667,neutral
668,neutral
669,neutral
670,neutral
671,surprise
672,joy
673,neutral
674,anger
675,neutral
676,anger
677,neutral
678,neutral
679,neutral
680,neutral
681,non-neutral
682,neutral
683,surprise
684,surprise
685,surprise
686,neutral
687,neutral
688,neutral
689,neutral
690,neutral
691,neutral
692,anger
693,anger
694,neutral
695,neutral
696,non-neutral
697,non-neutral
698,neutral
699,neutral
700,neutral
701,neutral
702,neutral
703,neutral
704,joy
705,neutral
706,anger
707,neutral
708,neutral
709,neutral
710,anger
711,surprise
712,neutral
713,neutral
714,neutral
715,neutral
716,non-neutral
717,neutral
718,neutral
719,surprise
720,non-neutral
721,neutral
722,neutral
723,non-neutral
724,surprise
725,surprise
726,non-neutral
727,joy
728,non-neutral
729,neutral
730,neutral
731,neutral
732,surprise
733,neutral
734,neutral
735,neutral
736,neutral
737,neutral
738,neutral
739,surprise
740,anger
741,neutral
742,neutral
743,neutral
744,neutral
745,non-neutral
746,non-neutral
747,neutral
748,surprise
749,neutral
750,surprise
751,neutral
752,neutral
753,neutral
754,sadness
755,neutral
756,neutral
757,neutral
758,neutral
759,anger
760,neutral
761,neutral
762,neutral
763,neutral
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,surprise
770,neutral
771,neutral
772,neutral
773,surprise
774,non-neutral
775,neutral
776,neutral
777,neutral
778,non-neutral
779,non-neutral
780,anger
781,neutral
782,neutral
783,disgust
784,joy
785,neutral
786,surprise
787,surprise
788,neutral
789,anger
790,neutral
791,anger
792,neutral
793,neutral
794,neutral
795,joy
796,neutral
797,non-neutral
798,non-neutral
799,neutral
800,surprise
801,neutral
802,neutral
803,neutral
804,non-neutral
805,non-neutral
806,neutral
807,neutral
808,neutral
809,neutral
810,anger
811,neutral
812,neutral
813,neutral
814,neutral
815,non-neutral
816,disgust
817,neutral
818,non-neutral
819,non-neutral
820,surprise
821,neutral
822,non-neutral
823,surprise
824,joy
825,neutral
826,neutral
827,joy
828,joy
829,neutral
830,joy
831,neutral
832,neutral
833,surprise
834,neutral
835,neutral
836,anger
837,sadness
838,disgust
839,surprise
840,neutral
841,neutral
842,neutral
843,neutral
844,neutral
845,neutral
846,neutral
847,non-neutral
848,neutral
849,neutral
850,neutral
851,neutral
852,joy
853,neutral
854,neutral
855,neutral
856,neutral
857,non-neutral
858,neutral
859,neutral
860,non-neutral
861,neutral
862,neutral
863,neutral
864,neutral
865,neutral
866,neutral
867,neutral
868,non-neutral
869,neutral
870,neutral
871,surprise
872,neutral
873,non-neutral
874,non-neutral
875,surprise
876,surprise
877,surprise
878,surprise
879,neutral
880,anger
881,joy
882,neutral
883,joy
884,neutral
885,non-neutral
886,neutral
887,neutral
888,neutral
889,neutral
890,neutral
891,joy
892,neutral
893,neutral
894,neutral
895,surprise
896,neutral
897,neutral
898,neutral
899,non-neutral
900,surprise
901,neutral
902,neutral
903,joy
904,neutral
905,surprise
906,surprise
907,neutral
908,neutral
909,fear
910,neutral
911,neutral
912,neutral
913,neutral
914,joy
915,neutral
916,joy
917,surprise
918,surprise
919,neutral
920,neutral
921,neutral
922,neutral
923,anger
924,neutral
925,neutral
926,non-neutral
927,non-neutral
928,neutral
929,non-neutral
930,neutral
931,joy
932,neutral
933,neutral
934,neutral
935,surprise
936,neutral
937,surprise
938,surprise
939,anger
940,neutral
941,sadness
942,neutral
943,neutral
944,neutral
945,neutral
946,non-neutral
947,neutral
948,neutral
949,neutral
950,neutral
951,neutral
952,neutral
953,surprise
954,non-neutral
955,neutral
956,non-neutral
957,neutral
958,neutral
959,non-neutral
960,neutral
961,non-neutral
962,surprise
963,non-neutral
964,neutral
965,non-neutral
966,joy
967,surprise
968,neutral
969,joy
970,neutral
971,neutral
972,neutral
973,neutral
974,neutral
975,neutral
976,joy
977,neutral
978,neutral
979,neutral
980,neutral
981,surprise
982,neutral
983,neutral
984,neutral
985,surprise
986,neutral
987,neutral
988,neutral
989,neutral
990,neutral
991,neutral
992,neutral
993,neutral
994,neutral
995,neutral
996,non-neutral
997,surprise
998,neutral
999,neutral
1000,neutral
1001,neutral
1002,surprise
1003,neutral
1004,neutral
1005,neutral
1006,neutral
1007,neutral
1008,surprise
1009,neutral
1010,neutral
1011,neutral
1012,non-neutral
1013,surprise
1014,neutral
1015,non-neutral
1016,neutral
1017,neutral
1018,neutral
1019,neutral
1020,neutral
1021,surprise
1022,neutral
1023,neutral
1024,neutral
1025,neutral
1026,surprise
1027,neutral
1028,anger
1029,neutral
1030,neutral
1031,neutral
1032,neutral
1033,joy
1034,neutral
1035,neutral
1036,neutral
1037,neutral
1038,neutral
1039,neutral
1040,non-neutral
1041,neutral
1042,neutral
1043,neutral
1044,neutral
1045,neutral
1046,surprise
1047,surprise
1048,neutral
1049,neutral
1050,non-neutral
1051,non-neutral
1052,non-neutral
1053,anger
1054,anger
1055,disgust
1056,non-neutral
1057,neutral
1058,non-neutral
1059,non-neutral
1060,neutral
1061,neutral
1062,non-neutral
1063,neutral
1064,neutral
1065,neutral
1066,joy
1067,surprise
1068,neutral
1069,neutral
1070,surprise
1071,surprise
1072,neutral
1073,neutral
1074,neutral
1075,neutral
1076,joy
1077,joy
1078,surprise
1079,surprise
1080,disgust
1081,neutral
1082,neutral
1083,non-neutral
1084,neutral
1085,neutral
1086,neutral
1087,joy
1088,non-neutral
1089,anger
1090,neutral
1091,neutral
1092,surprise
1093,neutral
1094,neutral
1095,neutral
1096,non-neutral
1097,neutral
1098,neutral
1099,neutral
1100,sadness
1101,non-neutral
1102,neutral
1103,neutral
1104,non-neutral
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,neutral
1111,neutral
1112,surprise
1113,neutral
1114,surprise
1115,neutral
1116,non-neutral
1117,surprise
1118,non-neutral
1119,neutral
1120,neutral
1121,neutral
1122,surprise
1123,neutral
1124,joy
1125,joy
1126,neutral
1127,non-neutral
1128,neutral
1129,neutral
1130,neutral
1131,neutral
1132,neutral
1133,neutral
1134,neutral
1135,non-neutral
1136,surprise
1137,joy
1138,neutral
1139,joy
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,neutral
1145,neutral
1146,sadness
1147,joy
1148,anger
1149,surprise
1150,non-neutral
1151,joy
1152,surprise
1153,neutral
1154,neutral
1155,joy
1156,non-neutral
1157,anger
1158,non-neutral
1159,neutral
1160,neutral
1161,non-neutral
1162,non-neutral
1163,sadness
1164,non-neutral
1165,non-neutral
1166,surprise
1167,neutral
1168,neutral
1169,surprise
1170,neutral
1171,neutral
1172,neutral
1173,anger
1174,neutral
1175,non-neutral
1176,non-neutral
1177,neutral
1178,neutral
1179,neutral
1180,neutral
1181,surprise
1182,neutral
1183,neutral
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,non-neutral
1189,surprise
1190,neutral
1191,neutral
1192,neutral
1193,surprise
1194,joy
1195,neutral
1196,neutral
1197,neutral
1198,neutral
1199,neutral
1200,sadness
1201,neutral
1202,joy
1203,neutral
1204,neutral
1205,joy
1206,surprise
1207,neutral
1208,neutral
1209,non-neutral
1210,neutral
1211,neutral
1212,neutral
1213,joy
1214,sadness
1215,neutral
1216,neutral
1217,neutral
1218,non-neutral
1219,neutral
1220,neutral
1221,neutral
1222,neutral
1223,neutral
1224,surprise
1225,neutral
1226,surprise
1227,anger
1228,neutral
1229,non-neutral
1230,non-neutral
1231,neutral
1232,neutral
1233,neutral
1234,neutral
1235,neutral
1236,neutral
1237,neutral
1238,neutral
1239,neutral
1240,neutral
1241,neutral
1242,surprise
1243,non-neutral
1244,anger
1245,neutral
1246,neutral
1247,neutral
1248,neutral
1249,surprise
1250,neutral
1251,neutral
1252,non-neutral
1253,neutral
1254,surprise
1255,neutral
1256,surprise
1257,surprise
1258,surprise
1259,neutral
1260,neutral
1261,non-neutral
1262,non-neutral
1263,joy
1264,neutral
1265,neutral
1266,neutral
1267,non-neutral
1268,neutral
1269,surprise
1270,neutral
1271,neutral
1272,neutral
1273,neutral
1274,neutral
1275,neutral
1276,surprise
1277,neutral
1278,neutral
1279,surprise
1280,neutral
1281,surprise
1282,joy
1283,surprise
1284,neutral
1285,sadness
1286,surprise
1287,joy
1288,neutral
1289,neutral
1290,neutral
1291,fear
1292,non-neutral
1293,neutral
1294,non-neutral
1295,surprise
1296,non-neutral
1297,non-neutral
1298,neutral
1299,neutral
1300,neutral
1301,neutral
1302,neutral
1303,neutral
1304,non-neutral
